POLICY_ID,POLICY_NUMBER,POLICYHOLDER_NAME,LINE_OF_BUSINESS,COVERAGE_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,PREMIUM_AMOUNT,DEDUCTIBLE_AMOUNT,COVERAGE_LIMIT,STATE,AGENCY_CODE,UNDERWRITER_ID,STATUS,CREATED_AT
POL-0002751,ENC-2026-002751,Policyholder_2751,Business Owners Policy,Comprehensive,2025-05-10,2026-03-21,49180.5,853.03,4002839.64,VA,AGN-103,UW-024,ACTIVE,2025-10-29 01:02:05
POL-0002752,ENC-2026-002752,Policyholder_2752,Commercial Auto,Bodily Injury,2025-09-24,2026-01-31,11246.42,2764.25,789770.24,KY,AGN-179,UW-013,ACTIVE,2026-03-05 04:47:05
POL-0002753,ENC-2026-002753,Policyholder_2753,General Liability,Collision,2025-01-04,2025-04-15,33871.39,2065.83,3767030.26,VA,AGN-027,UW-002,CANCELLED,2026-01-26 13:16:05
POL-0002754,ENC-2026-002754,Policyholder_2754,Business Owners Policy,Medical Payments,2024-12-29,2025-02-24,7557.46,2274.26,4681247.94,OH,AGN-053,UW-024,ACTIVE,2025-10-09 20:44:05
POL-0002755,ENC-2026-002755,Policyholder_2755,General Liability,Umbrella,2025-10-05,2026-02-09,6627.58,6360.76,4441825.53,GA,AGN-054,UW-018,ACTIVE,2026-01-02 09:36:05
POL-0002756,ENC-2026-002756,Policyholder_2756,Commercial Auto,Comprehensive,2024-07-15,2024-09-25,31483.88,373.25,2350463.05,TN,AGN-026,UW-019,ACTIVE,2025-08-29 22:20:05
POL-0002757,ENC-2026-002757,Policyholder_2757,Commercial Property,Collision,2024-07-23,2025-02-28,47499.14,5820.83,1958929.84,OH,AGN-168,UW-021,ACTIVE,2025-11-09 11:38:05
POL-0002758,ENC-2026-002758,Policyholder_2758,General Liability,Property Damage,2025-04-25,2025-10-29,18698.63,6740.46,2719927.85,VA,AGN-119,UW-020,ACTIVE,2025-06-17 15:34:05
POL-0002759,ENC-2026-002759,Policyholder_2759,General Liability,Umbrella,2025-07-03,2025-08-17,41283.43,2182.64,4850123.99,MD,AGN-110,UW-017,ACTIVE,2025-08-27 09:22:05
POL-0002760,ENC-2026-002760,Policyholder_2760,General Liability,Comprehensive,2025-09-28,2026-03-11,49606.22,2330.5,4023804.96,OH,AGN-057,UW-020,ACTIVE,2025-10-04 01:03:05
POL-0002761,ENC-2026-002761,Policyholder_2761,Business Owners Policy,Bodily Injury,2024-08-12,2025-05-08,34047.12,1032.95,1892857.52,VA,AGN-043,UW-004,EXPIRED,2025-07-25 04:38:05
POL-0002762,ENC-2026-002762,Policyholder_2762,Workers Compensation,Property Damage,2024-09-07,2025-05-10,34206.3,7342.97,682445.54,OH,AGN-102,UW-014,EXPIRED,2025-10-14 21:20:05
POL-0002763,ENC-2026-002763,Policyholder_2763,Commercial Property,Collision,2024-11-05,2025-06-30,32488.5,2425.75,1523438.45,NC,AGN-121,UW-003,ACTIVE,2025-12-24 02:25:05
POL-0002764,ENC-2026-002764,Policyholder_2764,General Liability,Comprehensive,2024-05-31,2025-03-29,29386.97,7310.55,490683.25,IL,AGN-001,UW-008,ACTIVE,2025-08-28 10:50:05
POL-0002765,ENC-2026-002765,Policyholder_2765,Commercial Auto,Bodily Injury,2025-06-12,2025-09-25,8058.85,3421.23,2851598.64,NC,AGN-062,UW-030,CANCELLED,2025-06-13 06:43:05
POL-0002766,ENC-2026-002766,Policyholder_2766,Commercial Auto,Bodily Injury,2025-09-27,2026-08-16,30030.26,2757.42,1717243.58,MD,AGN-074,UW-001,ACTIVE,2026-02-12 03:25:05
POL-0002767,ENC-2026-002767,Policyholder_2767,Workers Compensation,Collision,2025-05-04,2025-11-14,18433.55,7842.28,3281945.16,VA,AGN-020,UW-016,ACTIVE,2026-04-26 04:30:05
POL-0002768,ENC-2026-002768,Policyholder_2768,Commercial Property,Property Damage,2025-09-15,2025-10-31,33278.24,7428.94,4727294.36,VA,AGN-098,UW-022,ACTIVE,2025-11-14 13:18:05
POL-0002769,ENC-2026-002769,Policyholder_2769,Commercial Auto,Bodily Injury,2025-11-05,2026-06-02,36130.91,8311.59,891558.68,IL,AGN-053,UW-010,ACTIVE,2025-09-09 06:44:05
POL-0002770,ENC-2026-002770,Policyholder_2770,Commercial Property,Collision,2024-09-25,2025-02-11,33542.82,299.61,525389.15,IN,AGN-009,UW-020,ACTIVE,2026-05-20 11:26:05
POL-0002771,ENC-2026-002771,Policyholder_2771,Commercial Property,Umbrella,2024-11-10,2025-07-18,22397.07,9767.59,3742129.35,NC,AGN-080,UW-010,ACTIVE,2025-10-08 03:05:05
POL-0002772,ENC-2026-002772,Policyholder_2772,Commercial Auto,Comprehensive,2024-09-18,2025-09-04,18191.49,3789.91,4700253.33,IN,AGN-124,UW-014,ACTIVE,2026-04-26 01:19:05
POL-0002773,ENC-2026-002773,Policyholder_2773,Commercial Property,Collision,2026-04-02,2027-03-04,14985.47,9392.67,3550926.54,SC,AGN-094,UW-021,ACTIVE,2025-08-12 18:01:05
POL-0002774,ENC-2026-002774,Policyholder_2774,General Liability,Umbrella,2025-07-07,2026-02-01,13959.06,4494.46,2894509.51,PA,AGN-066,UW-030,ACTIVE,2025-09-15 14:17:05
POL-0002775,ENC-2026-002775,Policyholder_2775,Business Owners Policy,Property Damage,2025-08-29,2026-07-01,37337.91,7917.2,4726559.38,KY,AGN-034,UW-017,ACTIVE,2025-08-05 20:19:05
POL-0002776,ENC-2026-002776,Policyholder_2776,Commercial Property,Comprehensive,2025-05-21,2026-01-05,9973.43,5537.62,4474948.55,IL,AGN-116,UW-015,ACTIVE,2026-04-09 02:28:05
POL-0002777,ENC-2026-002777,Policyholder_2777,Commercial Auto,Medical Payments,2024-10-20,2025-08-03,12652.82,2824.22,264810.5,NC,AGN-131,UW-011,ACTIVE,2025-07-13 14:29:05
POL-0002778,ENC-2026-002778,Policyholder_2778,Workers Compensation,Property Damage,2026-03-15,2026-11-02,7914.95,689.52,4309840.14,SC,AGN-152,UW-027,ACTIVE,2025-06-15 08:44:05
POL-0002779,ENC-2026-002779,Policyholder_2779,General Liability,Medical Payments,2025-03-19,2026-02-23,46551.78,3157.16,4380583.76,KY,AGN-065,UW-017,EXPIRED,2025-10-30 01:40:05
POL-0002780,ENC-2026-002780,Policyholder_2780,Commercial Property,Umbrella,2025-10-26,2026-01-21,18105.63,563.89,1213915.82,TN,AGN-017,UW-001,ACTIVE,2025-09-01 03:59:05
POL-0002781,ENC-2026-002781,Policyholder_2781,Commercial Auto,Comprehensive,2025-09-23,2026-04-10,14891.5,4414.87,4528316.07,MD,AGN-016,UW-007,CANCELLED,2025-09-23 08:45:05
POL-0002782,ENC-2026-002782,Policyholder_2782,Business Owners Policy,Property Damage,2025-01-29,2025-07-19,33025.13,8843.07,2158844.75,WV,AGN-046,UW-004,ACTIVE,2025-12-03 19:13:05
POL-0002783,ENC-2026-002783,Policyholder_2783,Commercial Auto,Umbrella,2025-08-25,2026-07-15,15993.98,3673.69,3953824.26,IL,AGN-129,UW-023,CANCELLED,2025-05-31 18:21:05
POL-0002784,ENC-2026-002784,Policyholder_2784,Workers Compensation,Property Damage,2024-09-26,2025-09-18,16035.87,6121.23,1113543.66,KY,AGN-034,UW-028,ACTIVE,2025-08-20 07:16:05
POL-0002785,ENC-2026-002785,Policyholder_2785,General Liability,Comprehensive,2024-06-17,2025-02-07,16032.87,7554.78,3843779.58,OH,AGN-043,UW-019,ACTIVE,2025-12-03 05:49:05
POL-0002786,ENC-2026-002786,Policyholder_2786,Commercial Property,Property Damage,2024-11-10,2024-12-15,9625.79,3119.46,1801412.96,TN,AGN-025,UW-018,ACTIVE,2026-04-08 09:26:05
POL-0002787,ENC-2026-002787,Policyholder_2787,Commercial Property,Comprehensive,2026-02-28,2026-10-13,15112.58,5789.99,2913072.04,VA,AGN-103,UW-021,ACTIVE,2025-11-15 19:05:05
POL-0002788,ENC-2026-002788,Policyholder_2788,Commercial Property,Umbrella,2025-04-26,2025-11-14,40742.46,8152.95,1151925.53,MD,AGN-106,UW-018,ACTIVE,2025-10-13 18:29:05
POL-0002789,ENC-2026-002789,Policyholder_2789,Commercial Property,Comprehensive,2025-02-06,2025-11-15,1067.67,3284.09,4742206.82,MD,AGN-053,UW-023,ACTIVE,2026-03-03 03:03:05
POL-0002790,ENC-2026-002790,Policyholder_2790,Commercial Property,Comprehensive,2025-04-16,2025-05-24,21416.94,1748.56,2975408.21,VA,AGN-036,UW-003,ACTIVE,2026-02-15 12:25:05
POL-0002791,ENC-2026-002791,Policyholder_2791,Commercial Property,Comprehensive,2025-04-29,2025-08-20,43640.91,8631.15,4051424.81,OH,AGN-171,UW-002,EXPIRED,2026-02-05 05:06:05
POL-0002792,ENC-2026-002792,Policyholder_2792,Commercial Auto,Collision,2024-06-02,2024-08-08,18479.16,5667.8,1957516.45,IL,AGN-115,UW-009,EXPIRED,2025-08-22 20:37:05
POL-0002793,ENC-2026-002793,Policyholder_2793,General Liability,Collision,2025-03-12,2025-06-04,39555.16,7471.4,3618033.27,SC,AGN-059,UW-030,ACTIVE,2026-04-25 08:24:05
POL-0002794,ENC-2026-002794,Policyholder_2794,Commercial Auto,Umbrella,2025-04-11,2025-06-17,5118.47,1324.13,2794118.17,OH,AGN-165,UW-003,ACTIVE,2025-08-21 18:04:05
POL-0002795,ENC-2026-002795,Policyholder_2795,General Liability,Umbrella,2025-12-22,2026-03-29,30921.77,6184.83,1147177.41,OH,AGN-047,UW-011,CANCELLED,2025-11-24 02:06:05
POL-0002796,ENC-2026-002796,Policyholder_2796,General Liability,Property Damage,2024-11-21,2025-08-31,21744.96,1718.77,619359.43,PA,AGN-170,UW-011,ACTIVE,2025-07-22 07:26:05
POL-0002797,ENC-2026-002797,Policyholder_2797,Commercial Property,Property Damage,2024-06-21,2025-04-05,44132.92,7112.95,3184666.01,MD,AGN-196,UW-013,ACTIVE,2025-08-18 19:43:05
POL-0002798,ENC-2026-002798,Policyholder_2798,Commercial Property,Property Damage,2025-04-23,2025-06-07,7478.6,727.29,1124904.16,NC,AGN-002,UW-017,ACTIVE,2026-03-24 08:11:05
POL-0002799,ENC-2026-002799,Policyholder_2799,Business Owners Policy,Property Damage,2025-07-19,2025-10-09,13032.04,7534.72,4046001.37,OH,AGN-139,UW-023,EXPIRED,2026-04-16 22:22:05
POL-0002800,ENC-2026-002800,Policyholder_2800,Business Owners Policy,Bodily Injury,2024-11-30,2025-02-20,14022.17,5748.25,1354879.83,MD,AGN-091,UW-001,ACTIVE,2025-10-31 20:24:05
POL-0002801,ENC-2026-002801,Policyholder_2801,Business Owners Policy,Property Damage,2024-05-29,2024-12-15,20991.56,1534.1,4726089.52,PA,AGN-088,UW-013,CANCELLED,2025-10-16 01:26:05
POL-0002802,ENC-2026-002802,Policyholder_2802,Workers Compensation,Comprehensive,2025-09-12,2026-08-24,32866.13,4999.34,751214.94,PA,AGN-021,UW-010,ACTIVE,2026-03-12 23:22:05
POL-0002803,ENC-2026-002803,Policyholder_2803,Workers Compensation,Collision,2024-06-21,2024-07-29,46530.68,9968.93,2243159.85,NC,AGN-046,UW-011,ACTIVE,2026-02-16 23:13:05
POL-0002804,ENC-2026-002804,Policyholder_2804,Commercial Auto,Collision,2024-07-22,2025-05-21,30438.58,8811.84,4041789.44,VA,AGN-012,UW-004,ACTIVE,2025-11-06 11:30:05
POL-0002805,ENC-2026-002805,Policyholder_2805,Commercial Auto,Property Damage,2025-12-04,2026-09-28,23735.95,3111.56,3575389.02,GA,AGN-082,UW-019,EXPIRED,2026-05-18 16:11:05
POL-0002806,ENC-2026-002806,Policyholder_2806,Commercial Auto,Collision,2025-03-25,2025-06-29,4697.72,7645.91,1965383.85,IL,AGN-139,UW-013,ACTIVE,2025-10-15 20:12:05
POL-0002807,ENC-2026-002807,Policyholder_2807,General Liability,Medical Payments,2025-10-13,2026-04-18,40491.73,4150.2,2764538.6,SC,AGN-173,UW-014,ACTIVE,2025-09-20 00:59:05
POL-0002808,ENC-2026-002808,Policyholder_2808,General Liability,Collision,2025-12-19,2026-08-08,37427.57,8259.82,1511994.34,WV,AGN-017,UW-029,ACTIVE,2025-11-20 05:53:05
POL-0002809,ENC-2026-002809,Policyholder_2809,General Liability,Medical Payments,2025-09-26,2025-12-09,7823.98,1998.29,1055241.4,WV,AGN-088,UW-027,ACTIVE,2025-11-07 20:01:05
POL-0002810,ENC-2026-002810,Policyholder_2810,Business Owners Policy,Comprehensive,2024-11-08,2025-05-21,15790.54,4057.17,359468.32,WV,AGN-028,UW-012,ACTIVE,2026-04-27 10:12:05
POL-0002811,ENC-2026-002811,Policyholder_2811,General Liability,Medical Payments,2025-11-23,2025-12-27,10361.3,1104.65,3609010.56,GA,AGN-070,UW-012,ACTIVE,2025-10-26 20:40:05
POL-0002812,ENC-2026-002812,Policyholder_2812,General Liability,Bodily Injury,2024-08-06,2025-07-21,7896.44,7324.61,3569983.71,OH,AGN-155,UW-003,ACTIVE,2026-03-11 02:44:05
POL-0002813,ENC-2026-002813,Policyholder_2813,Workers Compensation,Umbrella,2025-08-04,2025-12-27,32213.42,982.27,4317491.99,GA,AGN-125,UW-017,ACTIVE,2026-02-01 12:17:05
POL-0002814,ENC-2026-002814,Policyholder_2814,Commercial Auto,Comprehensive,2025-10-06,2026-09-26,38221.93,1723.52,4375660.57,OH,AGN-194,UW-005,ACTIVE,2026-04-06 17:34:05
POL-0002815,ENC-2026-002815,Policyholder_2815,General Liability,Collision,2024-10-29,2025-02-11,31324.09,5767.03,3423205.9,IL,AGN-133,UW-003,ACTIVE,2025-09-10 17:20:05
POL-0002816,ENC-2026-002816,Policyholder_2816,Business Owners Policy,Collision,2026-04-10,2026-05-31,7954.89,3279.64,4868449.2,KY,AGN-119,UW-017,CANCELLED,2025-07-14 07:10:05
POL-0002817,ENC-2026-002817,Policyholder_2817,Commercial Auto,Collision,2025-09-15,2026-04-03,48633.99,7818.94,4361168.8,WV,AGN-107,UW-007,ACTIVE,2025-05-31 11:29:05
POL-0002818,ENC-2026-002818,Policyholder_2818,Commercial Auto,Umbrella,2024-11-06,2025-09-04,7880.14,3280.46,3751867.51,WV,AGN-164,UW-011,ACTIVE,2026-02-11 10:54:05
POL-0002819,ENC-2026-002819,Policyholder_2819,Business Owners Policy,Bodily Injury,2026-02-15,2026-11-10,27900.16,3478.41,4925279.12,PA,AGN-087,UW-012,EXPIRED,2026-01-28 03:14:05
POL-0002820,ENC-2026-002820,Policyholder_2820,Commercial Auto,Bodily Injury,2024-11-02,2025-03-07,852.21,2804.46,2013715.04,NC,AGN-098,UW-030,ACTIVE,2025-11-12 22:59:05
POL-0002821,ENC-2026-002821,Policyholder_2821,Commercial Auto,Medical Payments,2024-10-27,2025-01-30,16387.17,7038.89,2527742.07,IN,AGN-186,UW-022,ACTIVE,2026-03-20 19:21:05
POL-0002822,ENC-2026-002822,Policyholder_2822,General Liability,Umbrella,2024-12-28,2025-07-06,45609.63,5665.59,3040677.36,IN,AGN-096,UW-025,ACTIVE,2025-05-27 16:36:05
POL-0002823,ENC-2026-002823,Policyholder_2823,Commercial Property,Collision,2025-12-15,2026-03-03,42149.15,7190.76,4705810.42,PA,AGN-068,UW-008,ACTIVE,2026-05-24 00:09:05
POL-0002824,ENC-2026-002824,Policyholder_2824,Commercial Property,Medical Payments,2025-12-22,2026-01-28,46137.79,3715.85,2974861.19,MD,AGN-098,UW-030,CANCELLED,2025-12-20 09:16:05
POL-0002825,ENC-2026-002825,Policyholder_2825,General Liability,Bodily Injury,2025-01-08,2025-07-16,3921.81,8008.04,4258509.04,IN,AGN-032,UW-022,ACTIVE,2025-11-21 13:47:05
POL-0002826,ENC-2026-002826,Policyholder_2826,Commercial Auto,Bodily Injury,2025-08-20,2026-02-07,31299.95,8459.5,2363645.71,IN,AGN-007,UW-025,ACTIVE,2026-05-01 21:48:05
POL-0002827,ENC-2026-002827,Policyholder_2827,Workers Compensation,Comprehensive,2024-07-16,2025-01-16,30182.69,3801.89,3571624.69,IL,AGN-092,UW-027,ACTIVE,2025-08-15 22:35:05
POL-0002828,ENC-2026-002828,Policyholder_2828,Business Owners Policy,Comprehensive,2024-07-23,2024-09-26,5069.85,9342.77,2583090.11,OH,AGN-182,UW-030,ACTIVE,2026-03-20 17:38:05
POL-0002829,ENC-2026-002829,Policyholder_2829,Business Owners Policy,Medical Payments,2024-09-16,2025-08-14,11258.84,4511.77,4595642.96,GA,AGN-033,UW-016,ACTIVE,2025-12-29 02:06:05
POL-0002830,ENC-2026-002830,Policyholder_2830,General Liability,Bodily Injury,2026-03-10,2026-07-25,9717.73,8741.7,1641390.4,GA,AGN-011,UW-030,ACTIVE,2025-10-13 20:43:05
POL-0002831,ENC-2026-002831,Policyholder_2831,Workers Compensation,Umbrella,2025-01-19,2025-06-03,47119.14,7443.6,4520482.02,VA,AGN-102,UW-018,ACTIVE,2025-09-30 11:32:05
POL-0002832,ENC-2026-002832,Policyholder_2832,Commercial Auto,Property Damage,2024-12-29,2025-10-09,11448.41,4003.71,4305160.11,KY,AGN-103,UW-001,ACTIVE,2026-05-23 23:33:05
POL-0002833,ENC-2026-002833,Policyholder_2833,Business Owners Policy,Bodily Injury,2025-04-04,2025-07-14,6447.24,9678.77,3947846.18,SC,AGN-138,UW-005,ACTIVE,2026-03-25 02:08:05
POL-0002834,ENC-2026-002834,Policyholder_2834,Business Owners Policy,Bodily Injury,2025-09-20,2026-07-04,24297.69,7953.83,3824659.93,WV,AGN-110,UW-009,ACTIVE,2025-05-28 14:23:05
POL-0002835,ENC-2026-002835,Policyholder_2835,Workers Compensation,Umbrella,2025-09-27,2026-02-05,39072.76,6527.51,4991585.07,NC,AGN-146,UW-006,CANCELLED,2025-06-20 19:04:05
POL-0002836,ENC-2026-002836,Policyholder_2836,Commercial Auto,Property Damage,2025-03-10,2025-10-31,44428.49,5545.04,4943258.48,IN,AGN-047,UW-007,ACTIVE,2026-01-16 00:03:05
POL-0002837,ENC-2026-002837,Policyholder_2837,Business Owners Policy,Umbrella,2025-07-29,2025-12-11,14217.3,8813.24,2833987.06,IN,AGN-134,UW-022,EXPIRED,2025-12-18 07:39:05
POL-0002838,ENC-2026-002838,Policyholder_2838,General Liability,Property Damage,2026-01-15,2026-05-03,1939.92,4040.79,1213442.86,GA,AGN-175,UW-003,EXPIRED,2025-09-24 23:00:05
POL-0002839,ENC-2026-002839,Policyholder_2839,General Liability,Collision,2025-06-15,2026-04-27,12994.8,9509.48,519494.98,IL,AGN-106,UW-024,ACTIVE,2025-12-03 02:39:05
POL-0002840,ENC-2026-002840,Policyholder_2840,Workers Compensation,Comprehensive,2025-04-20,2026-02-26,46636.52,1877.47,3132191.0,TN,AGN-147,UW-025,CANCELLED,2026-02-13 17:48:05
POL-0002841,ENC-2026-002841,Policyholder_2841,Commercial Auto,Medical Payments,2025-03-02,2025-07-09,29021.93,1978.34,2028758.03,NC,AGN-134,UW-016,EXPIRED,2025-09-24 05:38:05
POL-0002842,ENC-2026-002842,Policyholder_2842,Business Owners Policy,Collision,2024-09-21,2025-02-05,4059.18,8376.13,1577562.12,TN,AGN-066,UW-020,ACTIVE,2026-04-18 02:39:05
POL-0002843,ENC-2026-002843,Policyholder_2843,Business Owners Policy,Umbrella,2025-09-12,2026-07-23,27448.79,3153.36,2190147.48,TN,AGN-034,UW-007,ACTIVE,2026-02-12 01:23:05
POL-0002844,ENC-2026-002844,Policyholder_2844,Commercial Property,Medical Payments,2026-04-12,2027-01-17,43361.38,573.29,421229.59,VA,AGN-157,UW-004,CANCELLED,2025-12-05 11:28:05
POL-0002845,ENC-2026-002845,Policyholder_2845,General Liability,Collision,2026-04-25,2026-10-29,48605.09,5119.07,823605.11,IN,AGN-067,UW-019,ACTIVE,2025-07-20 20:56:05
POL-0002846,ENC-2026-002846,Policyholder_2846,Commercial Property,Collision,2026-04-23,2027-02-15,38978.2,9097.45,1287941.97,TN,AGN-181,UW-020,EXPIRED,2026-05-16 11:08:05
POL-0002847,ENC-2026-002847,Policyholder_2847,Commercial Property,Medical Payments,2024-07-21,2025-06-24,49071.43,4941.77,2675062.1,OH,AGN-098,UW-015,ACTIVE,2025-07-16 02:37:05
POL-0002848,ENC-2026-002848,Policyholder_2848,General Liability,Property Damage,2025-01-08,2025-06-05,29409.65,4095.43,273019.86,WV,AGN-195,UW-007,ACTIVE,2025-10-03 15:34:05
POL-0002849,ENC-2026-002849,Policyholder_2849,Commercial Property,Medical Payments,2025-06-17,2025-11-08,25691.4,4022.8,2851224.96,WV,AGN-069,UW-030,ACTIVE,2025-11-21 01:31:05
POL-0002850,ENC-2026-002850,Policyholder_2850,Commercial Auto,Comprehensive,2026-01-09,2027-01-04,10175.73,7740.15,2470018.72,OH,AGN-031,UW-004,ACTIVE,2025-06-11 10:42:05
POL-0002851,ENC-2026-002851,Policyholder_2851,Commercial Auto,Umbrella,2024-05-31,2025-05-12,25207.31,6347.17,955292.06,NC,AGN-002,UW-027,ACTIVE,2025-07-29 07:29:05
POL-0002852,ENC-2026-002852,Policyholder_2852,Business Owners Policy,Umbrella,2025-05-12,2026-01-05,34490.02,4345.98,361040.78,GA,AGN-088,UW-022,ACTIVE,2025-07-20 05:49:05
POL-0002853,ENC-2026-002853,Policyholder_2853,Commercial Auto,Comprehensive,2025-05-05,2026-02-15,15020.48,2322.25,3499462.38,VA,AGN-106,UW-009,ACTIVE,2026-01-06 05:58:05
POL-0002854,ENC-2026-002854,Policyholder_2854,Commercial Auto,Collision,2025-11-04,2026-06-17,42063.03,6664.07,4430853.03,KY,AGN-153,UW-013,ACTIVE,2026-01-09 21:40:05
POL-0002855,ENC-2026-002855,Policyholder_2855,Commercial Auto,Collision,2024-11-11,2025-07-26,31141.51,8237.83,3183415.55,TN,AGN-191,UW-003,ACTIVE,2025-11-28 09:08:05
POL-0002856,ENC-2026-002856,Policyholder_2856,Commercial Auto,Medical Payments,2024-07-21,2024-12-20,43244.95,6565.8,3598660.51,WV,AGN-065,UW-001,ACTIVE,2025-11-20 13:33:05
POL-0002857,ENC-2026-002857,Policyholder_2857,Commercial Property,Comprehensive,2024-12-04,2025-03-30,36386.26,6872.45,3752783.96,MD,AGN-102,UW-011,ACTIVE,2026-01-29 00:22:05
POL-0002858,ENC-2026-002858,Policyholder_2858,General Liability,Collision,2025-08-04,2026-02-20,40334.11,3656.63,2792129.93,OH,AGN-198,UW-016,CANCELLED,2025-08-30 20:38:05
POL-0002859,ENC-2026-002859,Policyholder_2859,Business Owners Policy,Medical Payments,2025-09-02,2026-07-01,46283.19,5908.37,973321.95,MD,AGN-031,UW-008,ACTIVE,2025-10-29 01:37:05
POL-0002860,ENC-2026-002860,Policyholder_2860,Workers Compensation,Property Damage,2025-06-19,2026-04-13,23998.57,4721.33,324044.74,PA,AGN-023,UW-012,ACTIVE,2026-05-24 21:05:05
POL-0002861,ENC-2026-002861,Policyholder_2861,Workers Compensation,Property Damage,2025-03-26,2025-08-14,16054.19,697.42,3703567.96,WV,AGN-105,UW-012,ACTIVE,2025-09-03 13:06:05
POL-0002862,ENC-2026-002862,Policyholder_2862,Commercial Auto,Bodily Injury,2024-10-27,2025-07-15,10503.5,3090.68,2003112.52,PA,AGN-166,UW-014,ACTIVE,2026-01-08 22:11:05
POL-0002863,ENC-2026-002863,Policyholder_2863,General Liability,Bodily Injury,2025-03-18,2025-11-24,42612.85,9528.52,4521973.32,VA,AGN-147,UW-020,ACTIVE,2025-09-25 12:54:05
POL-0002864,ENC-2026-002864,Policyholder_2864,Commercial Property,Umbrella,2025-05-17,2026-04-16,47768.89,5861.77,4099900.72,IN,AGN-014,UW-029,ACTIVE,2026-04-10 20:50:05
POL-0002865,ENC-2026-002865,Policyholder_2865,Commercial Auto,Comprehensive,2024-07-21,2025-04-27,5953.66,8770.06,1673094.71,NC,AGN-077,UW-017,ACTIVE,2026-01-11 02:05:05
POL-0002866,ENC-2026-002866,Policyholder_2866,Commercial Auto,Bodily Injury,2025-01-08,2025-10-08,26159.3,9959.49,4322058.32,OH,AGN-110,UW-003,ACTIVE,2026-01-11 12:48:05
POL-0002867,ENC-2026-002867,Policyholder_2867,Workers Compensation,Medical Payments,2025-05-31,2026-02-13,35437.82,4862.32,2970708.44,KY,AGN-006,UW-026,CANCELLED,2025-11-29 23:13:05
POL-0002868,ENC-2026-002868,Policyholder_2868,General Liability,Collision,2024-07-08,2024-11-08,1935.17,4184.0,2662893.89,KY,AGN-111,UW-025,ACTIVE,2025-09-27 19:31:05
POL-0002869,ENC-2026-002869,Policyholder_2869,Business Owners Policy,Umbrella,2026-01-28,2027-01-18,47145.48,9429.04,3018585.39,VA,AGN-185,UW-013,CANCELLED,2026-04-07 14:25:05
POL-0002870,ENC-2026-002870,Policyholder_2870,Commercial Auto,Medical Payments,2026-01-03,2026-04-08,18513.82,6534.93,2628540.58,PA,AGN-173,UW-004,ACTIVE,2025-05-31 21:48:05
POL-0002871,ENC-2026-002871,Policyholder_2871,Business Owners Policy,Collision,2025-08-14,2026-05-26,944.59,9187.5,2549870.24,OH,AGN-126,UW-019,ACTIVE,2026-04-22 19:21:05
POL-0002872,ENC-2026-002872,Policyholder_2872,Commercial Property,Collision,2025-03-07,2026-02-28,13732.74,5085.59,4829808.75,GA,AGN-053,UW-025,ACTIVE,2025-08-22 23:20:05
POL-0002873,ENC-2026-002873,Policyholder_2873,Workers Compensation,Comprehensive,2025-06-21,2026-03-03,48464.77,8103.92,1178590.24,GA,AGN-197,UW-012,ACTIVE,2025-10-01 14:34:05
POL-0002874,ENC-2026-002874,Policyholder_2874,Commercial Property,Medical Payments,2025-05-24,2025-11-15,43943.23,6296.86,2422083.85,GA,AGN-015,UW-020,ACTIVE,2026-05-20 14:54:05
POL-0002875,ENC-2026-002875,Policyholder_2875,Business Owners Policy,Bodily Injury,2025-01-18,2025-11-27,39697.1,7912.28,4027763.71,PA,AGN-063,UW-024,CANCELLED,2026-04-13 07:30:05
POL-0002876,ENC-2026-002876,Policyholder_2876,Business Owners Policy,Medical Payments,2024-11-10,2025-05-25,47434.18,9940.01,4449349.54,GA,AGN-144,UW-022,ACTIVE,2025-08-05 10:14:05
POL-0002877,ENC-2026-002877,Policyholder_2877,General Liability,Umbrella,2024-09-01,2025-01-19,2166.88,6356.75,1890125.73,OH,AGN-183,UW-027,ACTIVE,2025-12-01 16:34:05
POL-0002878,ENC-2026-002878,Policyholder_2878,Commercial Property,Umbrella,2024-07-30,2025-07-14,18399.35,2265.55,4564800.47,OH,AGN-034,UW-020,ACTIVE,2025-07-22 23:22:05
POL-0002879,ENC-2026-002879,Policyholder_2879,Commercial Property,Comprehensive,2025-03-10,2025-10-21,41214.79,1860.04,1267144.15,NC,AGN-091,UW-009,ACTIVE,2026-05-24 14:00:05
POL-0002880,ENC-2026-002880,Policyholder_2880,Commercial Property,Medical Payments,2025-01-30,2025-12-31,14121.34,7999.79,347600.86,WV,AGN-175,UW-015,ACTIVE,2026-02-08 16:00:05
POL-0002881,ENC-2026-002881,Policyholder_2881,Business Owners Policy,Medical Payments,2025-12-26,2026-04-09,11142.59,5694.66,4610857.89,OH,AGN-006,UW-010,CANCELLED,2026-03-21 14:56:05
POL-0002882,ENC-2026-002882,Policyholder_2882,Commercial Property,Umbrella,2024-06-14,2025-04-12,42789.01,9349.48,675260.12,OH,AGN-078,UW-017,ACTIVE,2026-03-22 22:59:05
POL-0002883,ENC-2026-002883,Policyholder_2883,Commercial Property,Medical Payments,2024-09-22,2025-02-20,15217.43,3056.88,2269022.92,GA,AGN-092,UW-015,EXPIRED,2025-09-19 01:33:05
